1,Fitness Jump Rope with LCD Counter,Weighted jump rope that counts jumps and calories burned.,MUEBLES,MUY_USADO,false,15.99,19
2,Pineapple Rings,Delicious canned pineapple rings for desserts or salads.,TELEFONIA,PERFECTO,false,2.49,14
3,Hot Salsa,Spicy salsa made with fresh ingredients.,COCHES,PERFECTO,true,2.29,6
4,Folding Exercise Bike,Space-saving bike for indoor workouts.,INMUEBLES,MUY_USADO,true,199.99,5
5,Sweet Potato and Chickpea Bowl,A nourishing bowl of sweet potatoes and chickpeas with spices.,TELEFONIA,POCO_USO,false,6.49,7
6,Frozen Pizza,Delicious frozen pizza with a variety of toppings.,ANTIGUEDADES,MALO,false,7.99,8
7,Heart-Shaped Baking Molds,Love-themed molds for creating desserts and treats.,ANTIGUEDADES,BUENO,true,10.99,3
8,Chicken Parmesan Dinner Kit,"A complete meal kit containing breaded chicken breast marinara sauce and pasta perfect for a quick dinner.",MUEBLES,MALO,false,14.99,19
9,Pasta (Linguine),"Thin flat pasta perfect for various sauces.",ROPA,MUY_USADO,true,1.89,20
10,LED Makeup Mirror,Illuminated vanity mirror with adjustable brightness settings.,INMUEBLES,DEFECTUOSO,true,39.99,4
11,Wireless Earbud Silicone Covers,Soft silicone earbud covers for comfort and fit.,INMUEBLES,MUY_USADO,true,9.99,14
12,Silicone Cooking Utensils Set,Non-stick and heat-resistant utensils for cooking.,BICICLETAS,MUY_USADO,false,34.99,19
13,LED Christmas Tree Lights,String lights for decorating holiday trees.,BICICLETAS,POCO_USO,true,34.99,16
14,Baked Mac and Cheese,Creamy macaroni and cheese baked to perfection.,ANTIGUEDADES,MALO,true,5.99,2
15,Margherita Pizza,"A frozen pizza topped with fresh mozzarella tomatoes and basil.",INMUEBLES,MUY_USADO,false,7.99,10
16,Cacao Nibs,"Crunchy cacao nibs great for adding to smoothies or baking.",INMUEBLES,DEFECTUOSO,true,6.49,19
17,Pet Hair Removal Roller,Lint roller designed specifically for removing pet hair from furniture.,TELEFONIA,DEFECTUOSO,false,10.99,15
18,Wrap Front Midi Skirt,"Elegant midi skirt with a wrap design great for both formal and casual events.",ANTIGUEDADES,MUY_USADO,true,44.99,11
19,Biodegradable Phone Case,Eco-friendly phone case designed to decompose safely.,ANTIGUEDADES,MUY_USADO,true,23.99,5
20,Roasted Garlic Butter,A flavorful spread made with roasted garlic and creamy butter.,COCHES,MUY_USADO,false,3.29,20
21,Italian Sausage and Peppers,A flavorful blend of Italian sausage with sautéed peppers and onions.,ANTIGUEDADES,MALO,false,8.99,14
22,Vegetable Stir Fry Mix,A mix of fresh vegetables for quick stir-fries.,ROPA,MUY_USADO,true,3.29,13
